,Pixel-X,Pixel-Y,Longitude,Latitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,CVI,GDVI,EVI,GARI,GNDVI,GOSAVI,GSAVI,MSAVI,OSAVI,RVI,SAVI,WDVI,PSRI,CI,HMSSI,Cluster
0,51.5,0.5,76.9632487,12.03285251,0.1618,0.1589,0.1816,0.1558,0.2191,0.3728,0.4361,0.4644,0.4675,0.3873,0.2993,0.2104,2.1939561,0.2828,0.6389498,1.0221666,0.43777087,0.36919057,0.37155104,0.4050545,0.45882595,2.9807446,0.39572924,0.3472384,-0.008315432,-0.019897258,2.392811,4
1,63.5,0.5,76.96985963,12.03280592,0.1708,0.1834,0.2009,0.2122,0.2463,0.3514,0.3953,0.3832,0.4309,0.3883,0.3376,0.2581,2.0147028,0.18229999,0.3337497,0.7271435,0.31210408,0.25891206,0.25341767,0.22135238,0.26258934,1.8058435,0.2233982,0.22362559,0.08195788,0.135721,1.6559848,2
2,64.5,0.5,76.97041054,12.03280204,0.1686,0.1736,0.191,0.1914,0.2369,0.3316,0.3805,0.35,0.4032,0.3985,0.3248,0.2517,1.8362983,0.159,0.33141088,0.7986425,0.2939002,0.24054462,0.23034017,0.21336822,0.26229823,1.828631,0.21603362,0.20606719,0.05367914,0.09299897,1.7324973,2
3,67.5,0.5,76.97206327,12.03279036,0.1587,0.1714,0.1933,0.1889,0.2393,0.3483,0.3982,0.4019,0.432,0.4234,0.3268,0.2269,2.0318248,0.2086,0.4260682,0.84520125,0.35047042,0.29166666,0.2869896,0.2794664,0.329089,2.127581,0.27924076,0.2598472,0.050244037,0.0926416,1.8438327,1
4,68.5,0.5,76.97261418,12.03278647,0.1613,0.1695,0.1924,0.1857,0.2366,0.3337,0.3755,0.4085,0.4094,0.394,0.3281,0.2315,2.0492449,0.21609999,0.44508368,0.86052513,0.35962722,0.2997642,0.29574308,0.29224333,0.3426783,2.1997845,0.29133564,0.26885357,0.048546616,0.087237515,1.7969844,1
5,72.5,0.5,76.97481782,12.03277089,0.1595,0.163,0.1812,0.173,0.22,0.3237,0.3745,0.3734,0.3864,0.3829,0.277,0.2013,1.9674515,0.1922,0.42139798,0.9010881,0.3465561,0.28490958,0.27478334,0.27171275,0.3290827,2.1583817,0.27189714,0.24330401,0.03089277,0.057803415,1.8710984,3
6,82.5,0.5,76.98032689,12.03273185,0.1718,0.178,0.1968,0.1968,0.2283,0.34,0.3991,0.4108,0.4159,0.3999,0.3441,0.262,2.0873985,0.21400002,0.42575207,0.83848804,0.35220543,0.29411766,0.29106832,0.27711505,0.32339764,2.0873985,0.27701488,0.26280642,0.05529409,0.09552841,1.7276423,1
7,86.5,0.5,76.98253052,12.03271621,0.1596,0.1684,0.1863,0.1758,0.219,0.3175,0.3583,0.3708,0.3825,0.3712,0.2935,0.2239,1.8781613,0.1845,0.41931877,0.9228766,0.33117932,0.27248558,0.2631402,0.2639288,0.32012454,2.109215,0.26452893,0.23859839,0.023307059,0.04209324,1.8060297,3
8,87.5,0.5,76.98308142,12.03271229,0.1575,0.1638,0.1839,0.1692,0.2283,0.353,0.4121,0.4072,0.4375,0.4346,0.3227,0.23,2.0372517,0.22330001,0.4983667,0.95277655,0.37777027,0.31402054,0.3083875,0.3181229,0.37490496,2.4066193,0.31546795,0.27996162,0.015297457,0.031914905,2.0862882,4
9,88.5,0.5,76.98363233,12.03270838,0.1583,0.1664,0.1852,0.1642,0.2247,0.3931,0.471,0.4628,0.4998,0.4732,0.3006,0.212,2.215565,0.2776,0.62208337,1.0159768,0.42839503,0.36145833,0.3640736,0.38853192,0.44012198,2.818514,0.38098004,0.3393216,-0.00559656,-0.013398341,2.3940318,4
10,89.5,0.5,76.98418323,12.03270446,0.1591,0.1731,0.1975,0.1932,0.2526,0.3668,0.4186,0.4472,0.4503,0.4349,0.3502,0.2495,2.215005,0.2497,0.4854183,0.85100067,0.3873119,0.32653326,0.3284418,0.3233508,0.36811593,2.3146996,0.32089496,0.3019136,0.054798286,0.10403733,1.8985507,1
11,90.5,0.5,76.98473414,12.03270055,0.1598,0.1716,0.186,0.1809,0.2242,0.3407,0.3952,0.3974,0.4234,0.4055,0.3132,0.2238,2.0779757,0.21139999,0.45262587,0.9157227,0.36235857,0.3005402,0.29406306,0.28721416,0.34015983,2.1967938,0.28655145,0.2613632,0.027296724,0.051409584,1.883361,3
12,92.5,0.5,76.98583595,12.03269271,0.1606,0.1633,0.1832,0.1742,0.2364,0.3695,0.4233,0.442,0.4532,0.398,0.3428,0.2323,2.2941377,0.2588,0.530318,0.9191694,0.41394752,0.34728932,0.3464068,0.34890306,0.40021643,2.5373135,0.34443408,0.3110016,0.029499337,0.06257179,2.1211252,4
13,94.5,0.5,76.98693776,12.03268487,0.1573,0.166,0.1843,0.1834,0.2273,0.3301,0.3822,0.3976,0.4102,0.4104,0.3086,0.2231,2.146817,0.21329999,0.42737424,0.84915465,0.3665578,0.30388942,0.29712433,0.28336406,0.33531982,2.167939,0.2829211,0.2596832,0.052711334,0.09487465,1.7998909,1
14,95.5,0.5,76.98748866,12.03268094,0.1643,0.1696,0.1942,0.1928,0.2434,0.3349,0.384,0.402,0.4121,0.3651,0.3423,0.2477,2.055108,0.20780002,0.40643457,0.7991342,0.34854078,0.29014245,0.28562385,0.2733475,0.32150504,2.0850623,0.2734278,0.25701442,0.069274426,0.12033198,1.7370332,1
15,100.5,0.5,76.99024318,12.03266132,0.1581,0.1714,0.19,0.1848,0.2207,0.3229,0.3727,0.3514,0.3846,0.427,0.3144,0.2384,1.7988565,0.16139999,0.3545586,0.8466819,0.298116,0.24402781,0.2337256,0.22555499,0.27758688,1.9015151,0.2278663,0.21243039,0.041498926,0.07251084,1.7472943,2
16,101.5,0.5,76.99079408,12.03265739,0.1625,0.173,0.1947,0.1896,0.246,0.3707,0.4254,0.4356,0.4496,0.4168,0.3646,0.2617,2.1786845,0.24090001,0.48208824,0.8710679,0.38219896,0.32107157,0.320969,0.3164495,0.36342335,2.2974684,0.31428677,0.2930208,0.04478018,0.08755281,1.9551687,1
17,110.5,0.5,76.9957522,12.03262198,0.1636,0.1688,0.1809,0.1768,0.2132,0.31,0.3528,0.3916,0.3779,0.3638,0.286,0.2066,2.1156697,0.21070002,0.45262983,0.9268404,0.36803496,0.30425996,0.29611894,0.28715765,0.3420758,2.2149322,0.2864775,0.25864643,0.025806455,0.045248877,1.7533938,3
18,111.5,0.5,76.9963031,12.03261804,0.162,0.1645,0.1807,0.178,0.2202,0.3117,0.3499,0.3302,0.3569,0.3844,0.3225,0.2517,1.8000342,0.14949998,0.32676366,0.8343558,0.29262084,0.23696305,0.2231433,0.20985165,0.26422027,1.855056,0.21289732,0.19634399,0.043310896,0.07584272,1.7511234,2
19,112.5,0.5,76.996854,12.0326141,0.1593,0.17,0.1889,0.178,0.2234,0.3177,0.358,0.3862,0.3883,0.3741,0.3171,0.2328,1.9264973,0.19730002,0.44140097,0.92206526,0.3430708,0.28384408,0.2766045,0.2787871,0.333488,2.169663,0.27857974,0.252344,0.025180992,0.044943828,1.7848315,3
20,113.5,0.5,76.9974049,12.03261015,0.1561,0.1661,0.1861,0.1724,0.2231,0.3504,0.4056,0.4329,0.4263,0.4037,0.2992,0.2127,2.1549246,0.2468,0.53313416,0.9502173,0.3987076,0.33396482,0.3322049,0.3418819,0.3948517,2.511021,0.33779037,0.3032552,0.017979458,0.036542937,2.0324826,4
21,114.5,0.5,76.9979558,12.03260621,0.1549,0.1567,0.165,0.1512,0.1869,0.2717,0.3119,0.327,0.3287,0.3806,0.2568,0.1894,1.8160659,0.16199999,0.41503376,1.0702876,0.32926828,0.26470587,0.24649279,0.25052017,0.31953618,2.1626985,0.2520404,0.21329759,-0.02024293,-0.036375687,1.7969576,0
22,115.5,0.5,76.9985067,12.03260227,0.158,0.1642,0.1781,0.1676,0.2069,0.3052,0.3651,0.3834,0.3658,0.3954,0.2921,0.2427,2.0258079,0.20529999,0.46609065,0.96741724,0.36562777,0.30124724,0.29157123,0.29281083,0.35207874,2.2875893,0.2917359,0.25736478,0.011140278,0.020286473,1.8210024,3
23,118.5,0.5,77.0001594,12.03259043,0.1556,0.1647,0.1812,0.1679,0.2095,0.3489,0.415,0.4156,0.4319,0.4323,0.3056,0.2142,2.1252491,0.2344,0.521364,0.973064,0.3927614,0.32700893,0.32200667,0.3300034,0.38645867,2.475283,0.32654375,0.2893392,0.009171668,0.019058932,2.0780225,4
24,119.5,0.5,77.0007103,12.03258648,0.1559,0.1644,0.1824,0.1708,0.214,0.3459,0.4007,0.4044,0.4271,0.4189,0.3037,0.2104,2.076105,0.22199999,0.48821265,0.9439579,0.37832308,0.31409165,0.3078256,0.31216747,0.36857453,2.3676815,0.30992153,0.2759584,0.018502468,0.03747075,2.0251758,3
25,120.5,0.5,77.0012612,12.03258253,0.156,0.1621,0.182,0.1715,0.2168,0.3409,0.3918,0.4078,0.4193,0.4029,0.3026,0.2131,2.1113906,0.2258,0.4838049,0.9200681,0.38284165,0.31811777,0.3122183,0.31492493,0.37076694,2.3778424,0.3125182,0.278832,0.027574055,0.054810468,1.9877551,3
26,121.5,0.5,77.0018121,12.03257858,0.1568,0.1658,0.1838,0.1758,0.2209,0.3265,0.3704,0.3846,0.3974,0.3967,0.3052,0.2162,2.001415,0.20080002,0.4364914,0.9051234,0.35327238,0.2916909,0.28330696,0.2805163,0.33621323,2.1877134,0.28020853,0.25239843,0.030627843,0.05688277,1.8572241,3
27,122.5,0.5,77.002363,12.03257463,0.1595,0.1662,0.1846,0.1736,0.2202,0.3308,0.3843,0.4144,0.4105,0.4231,0.3093,0.2187,2.1110868,0.22980002,0.49772632,0.9376053,0.38363943,0.3196106,0.31504497,0.318978,0.37343317,2.387097,0.3163595,0.28385282,0.022370031,0.04262676,1.9055299,3
28,125.5,0.5,77.0040157,12.03256276,0.1625,0.1636,0.1847,0.1764,0.2301,0.3229,0.3666,0.3774,0.405,0.3941,0.3321,0.2454,1.9514918,0.19270001,0.4157015,0.8754257,0.34282157,0.28250992,0.27351922,0.2709095,0.32664612,2.1394558,0.2711331,0.2447472,0.03964078,0.072562404,1.8304988,3
29,126.5,0.5,77.0045666,12.03255881,0.1637,0.1677,0.1834,0.1758,0.2176,0.3325,0.3752,0.3658,0.4041,0.4143,0.3225,0.2262,1.9118942,0.18239999,0.40847915,0.9149606,0.33211944,0.27256423,0.26213807,0.25784472,0.3141391,2.0807736,0.2587636,0.2335984,0.02436091,0.046075102,1.8913538,3
30,127.5,0.5,77.00511749,12.03255485,0.162,0.1717,0.188,0.183,0.2213,0.3195,0.3583,0.3686,0.389,0.4052,0.3345,0.2336,1.9084939,0.18060002,0.39360395,0.88223034,0.32447,0.26692286,0.25770193,0.24951524,0.302552,2.0142078,0.2507912,0.23098402,0.035367753,0.06174862,1.7459017,2
31,128.5,0.5,77.00566839,12.03255089,0.162,0.1683,0.1886,0.1772,0.2211,0.3153,0.361,0.371,0.3865,0.3765,0.3353,0.2335,1.8482224,0.18239999,0.41341352,0.9069524,0.32594708,0.26839316,0.2595207,0.26186863,0.31743574,2.0936794,0.26257068,0.23774558,0.02822709,0.050225742,1.7793453,3
32,132.5,0.5,77.00787198,12.03253505,0.1621,0.1647,0.1802,0.1694,0.2267,0.3093,0.3586,0.3876,0.3844,0.3605,0.3286,0.2473,2.02203,0.20740001,0.46673796,0.95568126,0.36526948,0.30154115,0.29278606,0.2947815,0.35301533,2.2880754,0.29359984,0.2602112,0.015195619,0.02774501,1.8258559,3
33,133.5,0.5,77.00842288,12.03253109,0.162,0.1711,0.1874,0.1858,0.2197,0.3008,0.3451,0.325,0.3613,0.3333,0.3252,0.2472,1.7194513,0.13759999,0.3008949,0.80696,0.2685402,0.21758379,0.20507158,0.19078787,0.24071555,1.7491926,0.19430327,0.18527839,0.048869666,0.079117306,1.6189451,2
34,134.5,0.5,77.00897377,12.03252712,0.1616,0.1684,0.19,0.183,0.222,0.3197,0.3592,0.3902,0.3808,0.3377,0.3229,0.2307,1.9780221,0.20019999,0.4227881,0.8640596,0.34505343,0.2859183,0.27932253,0.27533737,0.3278123,2.1322403,0.27531967,0.25258398,0.045667794,0.07978139,1.7469946,3
35,136.5,0.5,77.01007557,12.03251919,0.1593,0.1736,0.1858,0.1796,0.2262,0.3197,0.3657,0.3764,0.3925,0.3608,0.3273,0.2305,1.9582337,0.1906,0.42708334,0.9389624,0.33902526,0.2793902,0.27051255,0.26445475,0.31883797,2.0957685,0.2650117,0.24134079,0.018767586,0.033407558,1.7800668,3
36,137.5,0.5,77.01062646,12.03251522,0.1546,0.17,0.1825,0.1748,0.2068,0.2902,0.3239,0.3328,0.3392,0.3525,0.2844,0.2024,1.7466222,0.1503,0.35694924,0.93810457,0.29167473,0.23658113,0.22334763,0.21834429,0.27453566,1.9038903,0.22111797,0.2013504,0.016540289,0.027459908,1.6601831,0
37,138.5,0.5,77.01117736,12.03251125,0.1539,0.1542,0.1638,0.1513,0.1944,0.2906,0.3322,0.2914,0.3511,0.3568,0.2428,0.1733,1.6432387,0.12759998,0.33590677,1.0465117,0.28031632,0.22183587,0.20177463,0.20308548,0.26964658,1.9259748,0.20696452,0.1776224,-0.009979368,-0.019167246,1.9206873,0
